whaleIDSp,whaleIDNumber,TL,LogTL,VGBm,LogVGBm,MW,LogMW,MR,LogMR,Species,Input,,MW,MR,VGB,Species
bw,173,19.25,1.284430734,10.45,1.01911629,48397.63129,4.684824107,1.18661,0.074308004,Blue Whale,1,,,,,
bw,174,19.4,1.28780173,10.6,1.025305865,50137.92221,4.700166332,1.19776,0.078369805,Blue Whale,1,,,,,
bw,175,19.25,1.284430734,10.45,1.01911629,48397.63129,4.684824107,1.18661,0.074308004,Blue Whale,1,,,,,
bw,176,20.5,1.311753861,11.65,1.066325925,63897.75176,4.805485578,1.26924,0.10354375,Blue Whale,1,,,,,
bw,177,20.4,1.309630167,11.55,1.062581984,62530.33927,4.796090785,1.26257,0.101255466,Blue Whale,1,,,,,
bw,178,20.37,1.308991029,11.52,1.061452479,62123.90795,4.793258768,1.26056,0.100563522,Blue Whale,1,,,,,
bw,179,19.8,1.29666519,10.95,1.039414119,54728.78429,4.738215801,1.22113,0.086761901,Blue Whale,1,,,,,
bw,180,19.45,1.288919606,10.6,1.025305865,50488.87463,4.703195691,1.1958,0.077658549,Blue Whale,1,,,,,
bw,181,19.55,1.291146762,10.65,1.027349608,51435.89688,4.711266317,1.19751,0.078279149,Blue Whale,1,,,,,
bw,182,26.6,1.424881637,17.7,1.247973266,188936.6877,5.276316297,1.56982,0.195849858,Blue Whale,1,,,,,
bw,183,20.2,1.305351369,11.3,1.053078443,59589.95063,4.775173026,1.24353,0.094656267,Blue Whale,1,,,,,
bw,184,19.75,1.2955671,10.85,1.035429738,53861.06821,4.731274962,1.21198,0.083495453,Blue Whale,1,,,,,
bw,185,20.42,1.310055738,11.52,1.061452479,62530.86311,4.796094423,1.25845,0.099835965,Blue Whale,1,,,,,
bw,186,20.35,1.308564414,11.45,1.058805487,61584.99267,4.789474894,1.25374,0.098207482,Blue Whale,1,,,,,
bw,187,18.75,1.273001272,9.85,0.99343623,42453.30215,4.627911477,1.13668,0.055638219,Blue Whale,1,,,,,
bw,188,20.57,1.313234292,11.67,1.067070856,64589.83161,4.810164152,1.26844,0.103269929,Blue Whale,1,,,,,
bw,189,20.05,1.302114377,11.15,1.047274867,57637.92483,4.760708336,1.23317,0.091022951,Blue Whale,1,,,,,
bw,190,20.2,1.305351369,11.25,1.051152522,59326.27828,4.773247105,1.23803,0.092731169,Blue Whale,1,,,,,
bw,191,20,1.301029996,11.05,1.043362278,56739.98666,4.753889229,1.22414,0.087831089,Blue Whale,1,,,,,
bw,192,20.65,1.314920056,11.7,1.068185862,65426.37419,4.815752853,1.26829,0.103218568,Blue Whale,1,,,,,
bw,193,21.5,1.33243846,12.5,1.096910013,77737.04044,4.890628002,1.31667,0.11947694,Blue Whale,1,,,,,
bw,194,19.1,1.281033367,10.1,1.004321374,45790.77913,4.660778033,1.15247,0.061629629,Blue Whale,1,,,,,
bw,195,20.3,1.307496038,11.3,1.053078443,60380.82687,4.780899056,1.23938,0.093204484,Blue Whale,1,,,,,
bw,196,19.2,1.283301229,10.2,1.008600172,46906.74757,4.671235321,1.16011,0.06449917,Blue Whale,1,,,,,
bw,197,19.2,1.283301229,10.2,1.008600172,46906.74757,4.671235321,1.16011,0.06449917,Blue Whale,1,,,,,
bw,198,19.65,1.293362555,10.65,1.027349608,52149.63284,4.717251255,1.19357,0.076847894,Blue Whale,1,,,,,
bw,199,20.5,1.311753861,11.5,1.06069784,63075.03393,4.799857493,1.2529,0.097916409,Blue Whale,1,,,,,
bw,200,19.85,1.297760511,10.85,1.035429738,54598.12808,4.737177753,1.20798,0.082059744,Blue Whale,1,,,,,
bw,201,19.6,1.292256071,10.6,1.025305865,51549.00034,4.712220248,1.18993,0.075521414,Blue Whale,1,,,,,
