Family,Genus,Species,TL (m),M (kg),Prey W (g),Percent,Energy (kJ/g),Energy (kJ),E_divesurf_med,E_divesurf_max,MR exponent
Physeteridae,Physter,macrocephalus,12.3,19300,700,1.1,2.31,1617,7.42,9.77,0.45
Physeteridae,Physter,macrocephalus,12.3,19300,600,21,4.53,2718,12.47,16.43,0.45
Physeteridae,Physter,macrocephalus,12.3,19300,500,1.4,2.31,1155,5.3,6.98,0.45
Physeteridae,Physter,macrocephalus,12.3,19300,500,0,3.77,1885,8.65,11.39,0.45
Physeteridae,Physter,macrocephalus,12.3,19300,300,0.1,2.31,693,3.18,4.19,0.45
Physeteridae,Physter,macrocephalus,12.3,19300,200,0.3,3.78,756,3.47,4.57,0.45
Physeteridae,Physter,macrocephalus,12.3,19300,200,4.9,1.69,338,1.55,2.04,0.45
Physeteridae,Physter,macrocephalus,12.3,19300,100,0.6,2.31,231,1.06,1.4,0.45
Physeteridae,Physter,macrocephalus,12.3,19300,800,2.1,2.65,2310,9.73,12.81,0.45
Ziphiidae,Ziphius,cavirostris,6.6,2900,194,1,1.69,327.9,0.76,0.66,0.45
Ziphiidae,Ziphius,cavirostris,6.6,2900,2284,0.8,3.78,8633.5,20.33,17.54,0.45
Ziphiidae,Ziphius,cavirostris,6.6,2900,2210,0.5,4.01,8862.1,3.53,3.04,0.45
Ziphiidae,Ziphius,cavirostris,6.6,2900,92,0.4,1.82,167.4,21.27,18.35,0.45
Ziphiidae,Ziphius,cavirostris,6.6,2900,75,0.4,1.69,126.8,8.91,7.68,0.45
Ziphiidae,Ziphius,cavirostris,6.6,2900,109,1.5,1.69,184.2,3.65,3.15,0.45
Ziphiidae,Ziphius,cavirostris,6.6,2900,61,0.7,2.65,161.7,28.02,24.18,0.45
Ziphiidae,Ziphius,cavirostris,6.6,2900,1262,0.5,4.01,5060.6,23.31,20.12,0.45
Ziphiidae,Ziphius,cavirostris,6.6,2900,192,14.1,3.78,725.8,39.62,34.19,0.45
Ziphiidae,Ziphius,cavirostris,6.6,2900,50,7.4,1.69,84.5,13.78,11.89,0.45
Ziphiidae,Ziphius,cavirostris,6.6,2900,79,5,1.69,133.5,3.8,3.28,0.45
Ziphiidae,Ziphius,cavirostris,6.6,2900,46,3.6,2.65,121.9,1.36,1.17,0.45
Ziphiidae,Ziphius,cavirostris,6.6,2900,308,3.5,1.82,560.6,1.03,0.88,0.45
Ziphiidae,Ziphius,cavirostris,6.6,2900,46,0,2.31,106.3,3.11,2.68,0.45
Ziphiidae,Ziphius,cavirostris,6.6,2900,1183,0,2.31,2732.7,2.44,2.11,0.45
Ziphiidae,Ziphius,cavirostris,6.6,2900,154,16.8,3.08,474.3,1.82,1.57,0.45
